;content;label;source
62;My computer is getting boiling;CPU/FAN/Heatsink;survey
63;Can overheating and strange noises from the cooler pose any risk to the functioning of the system?n overheating problems permanently damage the processor?;CPU/FAN/Heatsink;survey
64;My computer is running very slow and applications are taking a long time to load. What might be causing this CPU performance issue?;CPU/FAN/Heatsink;survey
65;Occasionally, when performing more demanding tasks like gaming, my computer freezes. What could be causing this?;CPU/FAN/Heatsink;survey
66;The CPU is getting random 99% usage peaks.;CPU/FAN/Heatsink;survey
67;I've noticed a significant drop in my laptop's performance. How can I utilize LDE to check and address potential problems with the CPU?;CPU/FAN/Heatsink;survey
68;Why is my computer not turning on?;CPU/FAN/Heatsink;survey
69;My laptop is experiencing random crashes under high load;CPU/FAN/Heatsink;survey
70;My PC is very slow;CPU/FAN/Heatsink;survey
71;The RAM usage is excessively high, leading to sluggish performance.;Memory;survey
72;My computer crashed;Memory;survey
73;My RAM always shows as full. Is there anything I can do?;Memory;survey
74;My system is being shut down suddenly with a blue screen of death.;Memory;survey
75;A BSOD with error message related to memory is happening frequently.;Memory;survey
76;My computer restarts with a memory error message, what can this be?;Memory;survey
77;I'm getting out of memory messages from windows.;Memory;survey
78;Task manager indicates high memory usage out of nowhere.;Memory;survey
79;My games are taking too long to start.;Memory;survey
80;My PC suddenly turned off and won't start again.;Memory;survey
81;My computer is consuming a lot of RAM.;Memory;survey
82;When I open certain softwares, my computer slows down;Memory;survey
83;My system doesn't keep work open in multiple windows and programs while in wait status;Memory;survey
84;My computer is too low, please check if there is something wrong with the memory;Memory;survey
85;The computer does not start consistently, experiencing crashes or random errors during the boot process.;Memory;survey
86;I have installed 32 gigabytes of RAM, but only 16 are being used, what could it be?;Memory;survey
87;My computer sometimes doesn't turn on, and when it does, it shuts down on its own shortly afterward. What could be the issue?;Memory;survey
88;My machine turns on, but the system does not boot.;Memory;survey
89;My laptop freezes randomly, especially when I have multiple applications open. How can I use the LDE to troubleshoot and fix memory-related problems?;Memory;survey
90;Why is my computer turning on but not booting?;Memory;survey
91;Why is my computer showing a blue screen after using it for a while?;Memory;survey
92;My computer isn't turning on and it's making beeps;Memory;survey
93;My usb is not working, help!;Motherboard;survey
94;My motherboard seems to have connectivity issues, as some USB ports don't work.;Motherboard;survey
95;My machine isn't reading my usb stick;Motherboard;survey
96;My motherboard doesn't recognize my plug and play devices. What can I do?;Motherboard;survey
97;My USB port is not recognizing any of my USB devices;Motherboard;survey
98;Time and date is not working as expected.;Motherboard;survey
99;my computer is showing the wrong time on the windows clock, what can this be?;Motherboard;survey
100;A usb port doesn't seem to be working.;Motherboard;survey
101;Computer time gets frozen when I turn my pc off.;Motherboard;survey
102;Date is stuck on the same day.;Motherboard;survey
103;My computer is not recognizing a flash drive.;Motherboard;survey
104;My motherboard is not recognizing USB devices.;Motherboard;survey
105;My computer is not recognizing one of the RAM modules.;Motherboard;survey
106;My computer can not recognize periphericals. ;Motherboard;survey
107;My usb ports doesn't work more.;Motherboard;survey
108;My system is not working properly, please check its motherboard;Motherboard;survey
109;My flash drives, adapters and peripherals are frequently failing or not being identified in the system;Motherboard;survey
110;My computer's USB ports are not recognizing my pen drive. What can I do to fix this issue?;Motherboard;survey
111;The date and time on my computer are always wrong, and I can't seem to fix it. What could be causing this?;Motherboard;survey
112;New USB devices are not being recognized on a certain port.;Motherboard;survey
113;Some of my laptop's USB ports and other peripherals aren't working. How can I use the diagnostics tool to identify and fix issues related to the motherboard and peripheral connectivity?;Motherboard;survey
114;Why is my USB not connecting?;Motherboard;survey
115;One of my USB ports suddenly stopped working;Motherboard;survey
116;I am unable to make the USB port recognize my device;Motherboard;survey
117;The machine is very slow.;Storage;survey
118;The storage drive is exhibiting slow read and write speeds.;Storage;survey
119;Transfering files is really slow;Storage;survey
120;My hard drive takes a very long time to write files. What can I do to fix this?;Storage;survey
121;Why is my storage device not reaching its manufacturer's official advertised speed?;Storage;survey
122;Searching files has got very slow.;Storage;survey
123;My storage device is taking time to be recognized by my computer and is delaying to be accessed, what can this be?;Storage;survey
124;It looks like there's a portion of my hd that is not working.;Storage;survey
125;I'm having trouble to copy a file from one HD to another.;Storage;survey
126;I'm getting errors when saving a file.;Storage;survey
127;How to recover damaged sectors from my disk?;Storage;survey
128;I can't access data on my HD.;Storage;survey
129;My computer does not allow me to save new files to disk C:.;Storage;survey
130;All my system frozen and only mouse still working.;Storage;survey
131;My disc is too slow, please help to fix it;Storage;survey
132;I am experiencing slow access to files and system performance. Could my storage drive (HDD or SSD) be causing this problem?;Storage;survey
133;My hard disk is always at 100% disk utilization in Task Manager. What could be the issue?;Storage;survey
134;Is taking too long to open a certain storage disk to access files.;Storage;survey
135;I suspect there might be issues with data integrity on my laptop. How can I run diagnostics on the storage module using LDE to check for and resolve data corruption problems?;Storage;survey
136;Why is my computer freezing?;Storage;survey
137;My pc is stuck in boot menu;Storage;survey
138;my machine is restarting;Storage;survey
139;My videos rendering are very slow.;Video Card;survey
140;Strange artifacts and distortions are appearing on the screen;Video Card;survey
141;The image sometimes turns off and on;Video Card;survey
142;My graphics card isn't rendering 3D graphics. How can I fix this?;Video Card;survey
143;My game is not smooth at all. It's being reproduced with low FPS;Video Card;survey
144;Artifacts are appearing on screen.;Video Card;survey
145;Some applications close and alerts a video memory error, what can this be?;Video Card;survey
146;My computer shuts down when I'm playing videogames.;Video Card;survey
147;My games are taking way longer to load. ;Video Card;survey
148;My games are dropping a lot of FPS out of nowhere. ;Video Card;survey
149;Autocad is taking too long to render a scenario.;Video Card;survey
150;How do I know if my video card has artifacts and how can I fix it?;Video Card;survey
151;My computer turns off when I start a game with the graphics at maximum setting.;Video Card;survey
152;When I play, the screen freezes constantly.;Video Card;survey
153;Sometimes I have black screen flash but audio still works while I'm wathing movies or playing games.;Video Card;survey
154;I can't watch a movie, the screen is getting in slow mode, please check my video system;Video Card;survey
155;The system suddenly shuts down or restarts for no apparent reason;Video Card;survey
156;I'm noticing strange graphical artifacts and my computer gets very hot when I play games. Do you know what it could be?;Video Card;survey
157;My computer shuts down on its own after a while, and when I check the Windows system events, the following components show errors: Faulting application name: dwm.exe. Faulting module name: dwmcore.dll. What could be causing this?;Video Card;survey
158;The video is randomly blacking out.;Video Card;survey
159;My laptop is having trouble connecting to an external monitor. Could this be a video card issue? What diagnostics should I run using LDE to troubleshoot external display problems?;Video Card;survey
160;Why is my display black?;Video Card;survey
161;My screen freezes and the audio keeps playing;Video Card;survey
162;I can't connect to my 5g wifi network;Network;survey
163;I'm having Wi-Fi connectivity problems, my devices frequently disconnect.;Network;survey
164;I can't connect to any wifi;Network;survey
165;My connection is becoming intermittent, and when it connects, it browses at a very slow speed. What could be the issue?;Network;survey
166;My network speed connection is unstable. Why is that?;Network;survey
167;My wi-fi is not working.;Network;survey
168;I can not access the internet but the cable is connected, what con this be?;Network;survey
169;My download rate is very slow.;Network;survey
170;My upload rate is slower that it used to be. ;Network;survey
171;Windows says that my computer is connected to internet, but i can even access google.;Network;survey
172;My internet is very slow.;Network;survey
173;My laptop does not recognize network signal.;Network;survey
174;My computer does not detect the Wi-Fi signal from my router.;Network;survey
175;I am connected to the network, but I cannot access websites.;Network;survey
176;I'm connected in my secure network, but I don't have internet access;Network;survey
177;I can't connect to the internet, please check my network;Network;survey
178;The computer may not detect the presence of the Ethernet cable or may not recognize the connection even when connected;Network;survey
179;My computer is connecting to the wired network, but when I try to connect to WiFi, it cannot connect, can you solve it?;Network;survey
180;My internet is always disconnecting and reconnecting, what could be the cause?;Network;survey
181;The machine is not detecting wireless networks.;Network;survey
182;My laptop keeps losing its internet connection. How can I use LDE to identify and resolve issues with both wired Ethernet and wireless network modules?;Network;survey
183;Why is my internet not connecting?;Network;survey
184;I can't access the internet using this laptop. Note: I can access the Internet fine from any other device.;Network;survey
185;I have connection problems;Network;survey
186;Others can't hear me;Audio;survey
187;I can't hear my music;Audio;survey
188;I can't hear anything;Audio;survey
189;My audio is not working;Audio;survey
190;My microphone is not working;Audio;survey
191;No sound is coming out;Audio;survey
192;My microphone audio sounds really bad;Audio;survey
193;My microphone is stuttering;Audio;survey
194;I can't hear any game;Audio;survey
195;I can't hear videos;Audio;survey
196;My headset isn't working;Audio;survey
197;Why isn't my headphone working;Audio;survey
198;Battery barely goes up;Battery;survey
199;The battery is only discharging;Battery;survey
200;My computer clock keeps resetting;Battery;survey
201;My pc stops responding;CPU/FAN/Heatsink;survey
202;Why is my pc stuttering;CPU/FAN/Heatsink;survey
203;My computer is restarting;CPU/FAN/Heatsink;survey
204;Why is my computer taking forever to boot;CPU/FAN/Heatsink;survey
205;The video keeps freezing;Video Card;survey
206;My pc crashes while gaming;Video Card;survey
207;My game runs really slow;Video Card;survey
208;The video keeps stuttering;Video Card;survey
209;Some games are crashing;Video Card;survey
210;My computer shutdowns when I'm playing a game.;CPU/FAN/Heatsink;survey
211;USB does not recognize the keyboard;Motherboard;survey
212;Computer turns off when unplugged;Battery;survey
213;My notebook only works connected to a power source.;Battery;survey
214;My computer is not recognizing an external drive.;Motherboard;survey
215;I'm getting errors when downloading a file.;Storage;survey
216;My game is running with weird colours.;Video Card;survey
217;Mouse doesn't connect.;Motherboard;survey
218;Keyboard doesn't connect.;Motherboard;survey
219;Dualsense doesn't connect.;Motherboard;survey
220;Dualshock doesn't connect.;Motherboard;survey
221;Mouse is not recognized.;Motherboard;survey
222;Keyboard is not recognized.;Motherboard;survey
223;Dualsense is not recognized.;Motherboard;survey
224;Dualshock is not recognized.;Motherboard;survey
225;My wi-fi is disconnecting all the time.;Network;survey
226;My wi-fi is going off all the time.;Network;survey
227;Windows detects only one monitor.;Video Card;survey
228;I'm getting blue screen.;Storage;survey
229;My pc shuts down by itself often.;Video Card;survey
230;Pc artifacting when I'm playing games.;Video Card;survey
231;Pc artifacting.;Video Card;survey
232;Monitor artifacting.;Video Card;survey
233;The computer only works when it is charging.;Battery;survey
234;System gets BSOD every time I open a virtualization process;CPU/FAN/Heatsink;survey
235;My computer is restarting when gaming.;Video Card;survey
236;My computer is restarting when processing videos.;Video Card;survey
237;My computer is restarting.;Video Card;survey
238;I keep getting BSODs.;Video Card;survey
239;My computer stutters and then restarts.;CPU/FAN/Heatsink;survey
240;My notebook is turning off suddenly.;Battery;survey
241;Some of my CPU ports are not working.;Motherboard;survey
242;My devices keep disconnecting.;Motherboard;survey
243;My files are corrupted.;Storage;survey
244;I can't find my partitions.;Storage;survey
245;My computer is not turning on.;Storage;survey
246;I'm not getting any audio from my computer.;Audio;forums
247;I'm experiencing bad sound quality from my computer's speakers.;Audio;forums
248;My computer is having poor audio connectivity and the sound keeps cutting out.;Audio;forums
249;My buetooth device is not pairing with my computer.;Audio;forums
250;The volume from my computer's speakers is too low.;Audio;forums
251;I have some audio issues with my Laptop.;Audio;forums
252;My computer's battery does not charge when plugged in.;Battery;forums
253;The battery on my laptop stops charging at 95% and won't go any higher.;Battery;forums
254;My laptop shows a 'plugged in, not charging' message even though the AC adapter is connected.;Battery;forums
255;The battery cannot be fully charged.;Battery;forums
256;The battery does not work.;Battery;forums
257;My computer has no power at all and won't turn on.;Battery;forums
258;The battery on my laptop stops charging at 60%.;Battery;forums
259;My laptop's battery is discharging very fast.;Battery;forums
260;My PC is charging very slowly.;Battery;forums
261;I have a power issue.;Battery;forums
262;PC heating when plugin.;Battery;forums
263;My PC keeps turning off unexpectedly.;Battery;forums
264;PC crashes when gamming.;CPU/FAN/Heatsink;forums
265;My PC is running too slow.;CPU/FAN/Heatsink;forums
266;My PC has randomly burnt out.;CPU/FAN/Heatsink;forums
267;I got blue screen.;CPU/FAN/Heatsink;forums
268;I get a BSOD then reboots.;CPU/FAN/Heatsink;forums
269;I had issues with random restarts while doing absolutely nothing.;CPU/FAN/Heatsink;forums
270;I'm hearing a 5 beep tone during power up on my computer.;CPU/FAN/Heatsink;forums
271;My PC does not load properly.;CPU/FAN/Heatsink;forums
272;My PC boots up okay but seems to hang up after running for one hour or so. How can I find out what is wrong?.;Memory;forums
273;After power up my PC, I got a long beep tone and an error mensage.;Memory;forums
274;The PC system does not boot-up.;Memory;forums
275;Memory failure due to system hanging up, or system rebooting after running a large program.;Memory;forums
276;I can't install Windows on my computer.;Memory;forums
277;The Windows program on my computer is unstable.;Memory;forums
278;There's a continuous beeping sound emitted by my system during power up.;Memory;forums
279;My computer keeps counting RAM during boot-up and won't load the Windows program.;Memory;forums
280;There's no display other than a blue screen on my monitor during boot-up.;Memory;forums
281;There's totally no video display on my monitor.;Memory;forums
282;System hang or rebooting after prolong usage.;Memory;forums
283;My system is running slow.;Memory;forums
284;I'm getting Blue Screen errors on my computer.;Memory;forums
285;There's an onscreen error message about memory stops.;Memory;forums
286;I'm seeing onscreen error messages about memory overruns.;Memory;forums
287;My computer is showing onscreen error messages about memory size.;Memory;forums
288;There's an onscreen error message about a memory read issue.;Memory;forums
289;My PC does not turn on.;Motherboard;forums
290;My PC does not boot up.;Motherboard;forums
291;There is no display.;Motherboard;forums
292;The Wi-Fi on my computer is not working.;Motherboard;forums
293;The Bluetooth on my computer is not working.;Motherboard;forums
294;My PC does not recognize the USB port.;Motherboard;forums
295;My PC is overheating.;Motherboard;forums
296;My computer system is unstable.;Motherboard;forums
297;Some hardware on my computer is not being recognized.;Motherboard;forums
298;My computer's keyboard is not being recognized.;Motherboard;forums
299;My computer is crashing frequently.;Motherboard;forums
300;I'm getting an error message saying 'Hard Drive not Detected.';Storage;forums
301;There's an error message saying 'No Boot Device Found.';Storage;forums
302;I see an error message saying 'No Boot Partition Found.';Storage;forums
303;I get an error message saying 'Data error Reading Drive.';Storage;forums
304;There's an error message saying 'Seek error - Sector not found.';Storage;forums
305;PC stops at a blank screen with a blinking cursor.;Storage;forums
306;PC stops at a black screen with a blinking cursor.;Storage;forums
307;My computer does not boot up.;Storage;forums
308;I get an error message during boot that says 'Missing Operating System.';Storage;forums
309;There's a clicking noise coming from my hard drive.;Storage;forums
310;I'm hearing a grinding noise from my hard drive.;Storage;forums
311;There's a whining noise coming from my hard drive.;Storage;forums
312;I'm getting a RAID-related error message on my computer.;Storage;forums
313;My computer is showing a blue screen with an error message.;Storage;forums
314;My computer can't find the NVMe storage.;Storage;forums
315;I get a blue screen after enabling Hyper-V.;Storage;forums
316;BIOS does not detect my ssd.;Storage;forums
317;Don't see my ssd on Device Manager.;Storage;forums
318;Don't see my ssd on Device selection.;Storage;forums
319;I can not install the OS.;Storage;forums
320;My PC is running slow.;Storage;forums
321;My computer screen is glitching.;Video Card;forums
322;There are some artifacts showing on my screen.;Video Card;forums
323;My screen is freezing up.;Video Card;forums
324;My screen is droping frames when gaming.;Video Card;forums
325;My fan is noisy.;Video Card;forums
326;I get a blue screen some time after gaming.;Video Card;forums
327;My system reboots unexpectedly.;Video Card;forums
328;My computer screen is black.;Video Card;forums
329;My screen is displaying strange colors.;Video Card;forums
330;There's no video on my monitor.;Video Card;forums
331;The text on my screen is too small.;Video Card;forums
332;The text on my screen is too large.;Video Card;forums
333;My computer is crashing under load.;Video Card;forums
334;I can't ping any network addresses.;Network;forums
335;My computer has no internet connection.;Network;forums
336;My computer failed to load a webpage.;Network;forums
337;I can't perform a DNS check on my computer.;Network;forums
338;My connection keeps timing out when I try to access the internet.;Network;forums
339;There's no response from the server on my computer.;Network;forums
340;I'm experiencing a server failure on my computer.;Network;forums
341;I am having a problem with my computer's audio. I can't seem to get any sound from my speakers or headphones. I've checked all the settings and they are all correct, but still no sound. Any ideas on how to fix this?;Audio;synthetic
342;I'm having a real nightmare with my computer. It's not turning on at all. No matter how many times I press the power button, nothing happens. The lights on the front aren't even coming on. It's like it's completely dead. I've tried different power outlets and cables, but it's still not working. I'm really worried about losing all my important files. Can you help me?;Motherboard;synthetic
343;My computer is experiencing a power issue, I'm unable to turn it on. When I press the power button, there's no response at all. The LED lights don't light up, and the fan doesn't start spinning. It's like the entire system is dead. I've tried resetting the power supply and checking the connections, but nothing seems to work.;Motherboard;synthetic
344;I have a problem with my computer's sound. It suddenly stopped working, and I can't seem to fix it. I checked all the connections, and they're fine, but there's still no sound coming out of my speakers. I tried using different audio files, but nothing seems to work. The volume is also not responding when I adjust it. It's like the entire audio system has crashed.;Audio;synthetic
345;I'm having a major issue with my computer right now. It's not turning on at all! I've tried pressing the power button, but nothing happens. The lights on the tower aren't even coming on. I'm not sure what could be wrong, but it's super urgent that I get this fixed ASAP.;Motherboard;synthetic
346;I'm having a real nightmare with my laptop. It won't power on at all, no matter what I do. I've tried the power button, pressing it multiple times, even tried a different power source, but nothing seems to work. The screen stays completely black, and there's no sign of life from the machine. It's like it's dead! I'm really worried because I have important work files saved on there. Can you help me figure out what's wrong?;Motherboard;synthetic
347;I'm having a real nightmare with my computer. It's refusing to power up at all, no matter what I try. The power button doesn't do anything, and there's no sign of life from the system. I've checked the power cable and outlet, and they're both fine. I've tried different outlets and cables, but nothing seems to work. The screen remains completely blank, and there's no sound or any other indication that the computer is attempting to start up. I'm at a loss as to what could be causing this issue, and I need help urgently.;Motherboard;synthetic
348;I recently encountered a rather unusual problem with my laptop. It started when I noticed that the power button wasn't responding at all. No matter how long I pressed it, the system just wouldn't turn on. After some troubleshooting, I realized that there was a crack in the power button area. It seemed like the crack had caused a short circuit, preventing the system from receiving the power-on signal.;Motherboard;synthetic
349;I am experiencing a severe technical issue with my computer. The screen has completely gone blank and there is no display or video signal. I have tried restarting the machine several times, but the problem persists. This is causing significant disruption to my work.;Motherboard;synthetic
350;I'm having a bit of a problem with my computer. The screen is completely blank, it's like there's no video signal at all. I've tried restarting it a few times, but nothing seems to work. Any ideas on how to fix this?;Motherboard;synthetic
351;I recently experienced a rather peculiar issue with my computer. It seems to be having trouble booting up properly. The problem started when I turned on the computer and it seemed to be going through its normal startup process. However, after a few moments, the screen suddenly went black and the computer just shut down without any warning or error message. I tried restarting it multiple times, but each time, it would go through the same sequence: start up, show the Windows logo, then suddenly power off. It's as if someone pulled the plug! I've tried running diagnostics but they all come back clear. Could this be a power supply issue or something more serious?;Motherboard;synthetic
352;My computer won't turn on. I've tried pressing the power button but nothing happens. The lights on the power supply are on, but the fans aren't spinning and the screen remains black.;Motherboard;synthetic
353;I'm having a real nightmare with my computer. It's not powering up at all. I press the power button, but nothing happens. No lights, no sounds, nothing. It's like it's dead. I've tried different power outlets, but it's still the same. It's driving me crazy!;Motherboard;synthetic
354;My laptop has been experiencing a significant decrease in battery life recently. I've noticed that it's not holding charge as long as it used to, and the battery draining faster than usual. I've tried restarting the computer and checking for updates, but the issue persists. I'm not sure if there's a problem with the battery itself or if it's related to some software running in the background.;Battery;synthetic
355;I'm having a battery issue with my laptop. It's not charging at all, and the battery life is incredibly short. I've tried different outlets and cables, but nothing seems to work. The voltage output from the power source seems low too. Could this be a problem with the AC adapter or the battery itself?;Battery;synthetic
356;I'm having trouble connecting to the WiFi on my computer. I've tried resetting the network settings and restarting my machine, but I still can't get online. The WiFi icon in the system tray keeps showing as 'Limited Access'. I'm not sure what's going on, but I need to get back online as soon as possible.;Network;synthetic
357;I'm having issues connecting to the internet through my laptop's WiFi. I've tried resetting the network settings and restarting my machine, but I still can't get online. The WiFi icon in the taskbar keeps showing as 'Limited Access'. I'm not sure what the problem is, but I need to get back online ASAP.;Network;synthetic
358;I'm experiencing a serious issue with my computer. It's not powering on at all. I've tried pressing the power button, the function keys, everything. Nothing seems to work. The lights on the power supply are on, but the computer itself just won't turn on. Could it be a problem with the power supply or the motherboard? I'm really worried.;Motherboard;synthetic
359;I'm having a bit of trouble with my laptop. It's not turning on at all. I've tried the power button, but nothing seems to happen. The power light doesn't come on, and the screen remains completely black. I've checked the power cable and it's securely plugged in, so I don't think it's an issue with the power supply. Any ideas what could be wrong?;Motherboard;synthetic
360;My computer is not turning on. I've tried pressing the power button but nothing happens. There's no POST beep or any other indication that it's booting up.;Motherboard;synthetic
361;My computer is having a serious issue that's causing it to randomly shut down without any warning. It's not related to the power supply because the power indicator light remains on. This happens several times a day, making it impossible for me to complete my work tasks. I've tried restarting the computer and checking for updates, but the problem persists. I'm not sure if this is a software or hardware issue.;Motherboard;synthetic
362;I'm having trouble with my laptop's battery. It's not charging at all. I've tried different power sources and outlets, but nothing seems to work. The LED indicator light on the charger also isn't turning on.;Battery;synthetic
363;My laptop is not charging properly. I've tried different outlets, but the battery percentage remains the same. It's becoming a real hassle as I rely on my computer for work. Any advice on how to fix this issue?;Battery;synthetic
364;My laptop is having issues with its battery life. It seems to be running out quickly, even when I'm not using it. I noticed this when the screen suddenly went black, and I had to plug in the charger to turn it back on. It's becoming a major inconvenience for me.;Battery;synthetic
365;I'm having issues with my laptop's Bluetooth connectivity. It seems to be disconnecting frequently, making it difficult for me to use my wireless headphones. I've tried restarting the device and resetting the Bluetooth settings, but the problem persists.;Network;synthetic
366;I'm experiencing connectivity issues with my computer's Bluetooth functionality. The connection keeps dropping intermittently, causing problems when I try to use my wireless headphones. I've tried rebooting the system and resetting the Bluetooth settings, but the problem remains unresolved.;Network;synthetic
367;I'm having an issue with my laptop, it's not charging properly. I've tried using both the AC adapter and connecting it to a power outlet but it doesn't seem to be working. The battery indicator keeps flashing orange and the laptop shuts down after a few minutes when not plugged in.;Battery;synthetic
368;I am experiencing a frustrating audio issue on my computer. I have been trying to watch videos or listen to music, but there is no sound coming from the speakers or any connected devices. I've checked all connections and tried different audio outputs, but the problem persists. This has also affected my microphone, as it doesn't seem to be picking up any sound when I try to record or use voice-based applications.;Audio;synthetic
369;I'm having some issues with my computer's Wi-Fi connectivity. It's not working properly and I'm unable to connect to the internet.;Network;synthetic
370;I'm experiencing a problem with my laptop's wireless connection. It's not connecting to the internet, and I'm unable to browse or access any websites.;Network;synthetic
371;I am experiencing a rather urgent issue with my computer's battery life. It seems to be draining faster than usual, leaving me with only a fraction of the usual operating time. This has become a significant inconvenience as I often work remotely and rely on my device to stay connected throughout the day. I am unsure if this is a software or hardware issue, but it's causing me significant distress.;Battery;synthetic
372;My computer is making a strange popping sound. It's like an electric buzzing noise that gets louder when I'm using certain applications. The sound seems to be coming from the speakers, and it's quite disturbing. I've tried adjusting the volume, but the noise doesn't go away.;CPU/FAN/Heatsink;synthetic
373;My laptop is experiencing a battery life issue. It seems to be draining faster than usual, and the runtime is significantly shorter than it used to be. I've tried charging it fully, but the problem persists.;Battery;synthetic
374;I recently turned on my computer and found that there's no display on the screen. The power indicator is on, but there's just a blank screen. I've tried resetting the power supply and checking the display cable, but the problem persists. Any ideas what could be causing this?;Motherboard;synthetic
375;My laptop is not charging properly. I've tried different outlets and cables but it still doesn't seem to be charging. The battery indicator light is flashing orange intermittently, which I think indicates a problem with the power supply.;Battery;synthetic
376;My laptop is making a strange noise. It sounds like crackling or clicking, and it's coming from the speakers. It's quite loud and constant. I'm worried it might be a hardware issue.;CPU/FAN/Heatsink;synthetic
377;I'm having a really frustrating problem with my computer. When I turn it on, the screen remains blank. I've tried rebooting several times, but nothing seems to work. The power indicator light is on, and I can hear the fans running, but there's just no image on the screen. It's like my computer is in a coma! Any ideas what could be wrong?;Motherboard;synthetic
378;My computer is experiencing a strange problem with its cooling system. I have noticed that the fan is making an unusual noise, like a low-pitched hum or whine. It's not a loud sound, but it's definitely noticeable and somewhat annoying. The fan seems to be running constantly, even when the computer is idle. I'm worried that this could be a sign of overheating or a malfunctioning fan.;CPU/FAN/Heatsink;synthetic
379;My computer is not turning on. I press the power button, but nothing happens. The lights on the power supply are not lighting up either. I've checked all the cables and connections, but they seem fine.;Motherboard;synthetic
380;My laptop is experiencing an audio issue. I'm unable to hear any sound from my speakers, even after adjusting the volume and checking the settings. It's as if there's a silent void where music and dialogue should be.;Audio;synthetic
381;I'm having a problem with my laptop's battery life. It seems to be draining faster than usual. I'm not sure if it's a software issue or if there's something wrong with the battery itself. Any advice would be greatly appreciated.;Battery;synthetic
